,NaiveBayes,RandomForest,DecisionTree,LogisticRegression,KNN,SVM,WPBC2,IBC,PBC,WPBC2,WPIBC
ant-1.3--PROC.csv,0.7447916666666666,0.8333333333333333,0.625,0.75,0.8125,0.5,0.9427083333333331,0.9609375,0.9427083333333331,0.9401041666666669,0.9505208333333334
ant-1.4--PROC.csv,0.4955357142857142,0.7348214285714286,0.6294642857142858,0.6116071428571428,0.6866071428571429,0.6044642857142857,0.8294642857142857,0.8330357142857143,0.8080357142857143,0.8133928571428571,0.8633928571428571
ant-1.5--PROC.csv,0.5555555555555555,0.5617283950617283,0.4382716049382716,0.5873015873015873,0.6208112874779541,0.6172839506172839,0.8227513227513228,0.8500881834215168,0.8192239858906526,0.7883597883597884,0.783068783068783
ant-1.6--PROC.csv,0.7386882523868825,0.7868410128684101,0.7573682025736821,0.7507264425072644,0.7673308426733084,0.7797841427978415,0.8576172685761727,0.8486924034869241,0.8366542133665422,0.8349937733499379,0.8439186384391864
camel-1.0--PROC.csv,0.9427609427609428,0.8737373737373737,0.5892255892255892,0.9225589225589224,0.8636363636363636,0.6666666666666666,0.9713804713804712,0.9595959595959596,0.968013468013468,0.9713804713804712,0.9747474747474748
camel-1.2--PROC.csv,0.5782180782180782,0.6559181559181559,0.5564620564620566,0.6143486143486143,0.6596736596736595,0.6320901320901321,0.7077829577829577,0.6754079254079254,0.6906889406889406,0.6844729344729343,0.6907536907536908
camel-1.4--PROC.csv,0.6761394989515506,0.7081999779273811,0.6718905198101756,0.702737004745613,0.7096346981569364,0.6305595408895264,0.7541662068204392,0.7343008497958283,0.7515174925504912,0.7451716146120737,0.7572563734687121
camel-1.6--PROC.csv,0.5291378074994029,0.5114242496616511,0.4373457527266937,0.590239630602659,0.550752328636255,0.4282700421940928,0.6178648196799618,0.6148395828357615,0.6178648196799618,0.6109784252846111,0.6131677414218614
Eclipse_JDT_Core--PROC.csv,0.7412300511894008,0.8289671785606745,0.7454080096356519,0.7615176151761517,0.7478169226136706,0.7775519421860885,0.8518894911171334,0.8363821138211381,0.818164709424872,0.8153041252634748,0.8445121951219513
Eclipse_PDE_UI--PROC.csv,0.75216,0.7597688888888888,0.7095466666666667,0.7488,0.6959644444444444,0.7556622222222222,0.79568,0.7977422222222221,0.7649422222222223,0.7653333333333334,0.7937066666666668
Equinox_Framework--PROC.csv,0.8498866213151928,0.8984126984126984,0.8494331065759637,0.8702947845804989,0.8149659863945578,0.8784580498866214,0.9233560090702948,0.921315192743764,0.9197278911564626,0.9077097505668934,0.9031746031746032
ivy-2.0--PROC.csv,0.8447916666666667,0.8458333333333333,0.6593749999999999,0.8020833333333333,0.8234375,0.8593749999999999,0.9125,0.9192708333333336,0.9052083333333332,0.909375,0.9
jedit-3.2--PROC.csv,0.6472701149425287,0.7295258620689655,0.6738505747126438,0.7557471264367817,0.7298850574712644,0.7579022988505747,0.8229166666666667,0.8354885057471264,0.822198275862069,0.8092672413793103,0.8236350574712644
jedit-4.0--PROC.csv,0.8125373134328359,0.8053731343283582,0.7453731343283583,0.8053731343283583,0.8023880597014925,0.795223880597015,0.8513432835820895,0.8564179104477612,0.8435820895522388,0.8235820895522388,0.8226865671641791
jedit-4.1--PROC.csv,0.831951354339414,0.8137092316196793,0.8032061912658928,0.824212271973466,0.7766721945826423,0.8192371475953566,0.876727473742399,0.8618021006080707,0.8598673300165838,0.8490878938640133,0.8587617468214482
jedit-4.2--PROC.csv,0.8118932038834951,0.7578883495145631,0.8161407766990292,0.8070388349514563,0.779126213592233,0.7524271844660195,0.8974514563106797,0.9186893203883496,0.8531553398058253,0.8677184466019418,0.899878640776699
jedit-4.3--PROC.csv,0.8551724137931034,0.6068965517241378,0.6114942528735632,0.8390804597701149,0.596551724137931,0.593103448275862,0.9620689655172412,0.9724137931034482,0.9597701149425286,0.9620689655172412,0.9793103448275864
log4j-1.0--PROC.csv,0.9310344827586208,0.925287356321839,0.932471264367816,0.9310344827586208,0.9066091954022988,0.9482758620689656,0.9683908045977012,0.975574712643678,0.9525862068965516,0.9525862068965516,0.9583333333333331
Lucene--PROC.csv,0.8596014492753623,0.7927989130434782,0.6569293478260869,0.8179347826086957,0.6600996376811594,0.605072463768116,0.8928894927536231,0.8883605072463768,0.8760190217391304,0.8812273550724636,0.8881340579710145
Mylyn--PROC.csv,0.6285476948636302,0.7083506391619363,0.6480455950897597,0.6711661821034658,0.6932022705247127,0.5944206008583691,0.7617679634500899,0.7625640315658313,0.7475541095574323,0.7556186256864645,0.7596566523605149
poi-2.0--PROC.csv,0.6087662337662337,0.7218614718614719,0.6964285714285714,0.6076839826839827,0.7564935064935066,0.5340909090909091,0.8928571428571429,0.8555194805194806,0.8674242424242425,0.867965367965368,0.8344155844155845
synapse-1.0--PROC.csv,0.8928571428571429,0.8313492063492063,0.7103174603174603,0.8690476190476191,0.7242063492063493,0.6349206349206349,0.9642857142857144,0.9702380952380952,0.9503968253968256,0.9583333333333334,0.9702380952380952
synapse-1.1--PROC.csv,0.5255319148936171,0.4787234042553191,0.3569148936170213,0.5436170212765958,0.4654255319148936,0.4691489361702128,0.7558510638297873,0.8303191489361702,0.750531914893617,0.7446808510638298,0.7553191489361702
synapse-1.2--PROC.csv,0.7033527696793003,0.7106413994169096,0.6107871720116618,0.6690962099125364,0.5889212827988337,0.6465014577259475,0.8221574344023324,0.8458454810495626,0.8032069970845481,0.814868804664723,0.8338192419825072
velocity-1.6--PROC.csv,0.7282407407407407,0.7569444444444444,0.7134259259259259,0.7560185185185185,0.7333333333333334,0.7587962962962964,0.825462962962963,0.8439814814814814,0.8078703703703702,0.8055555555555555,0.8023148148148148
xerces-1.2--PROC.csv,0.4230179028132992,0.6956521739130435,0.6104859335038363,0.6122762148337596,0.6928388746803069,0.6874680306905371,0.780306905370844,0.746547314578005,0.7800511508951407,0.7478260869565218,0.7508951406649617
xerces-1.3--PROC.csv,0.6677912730544309,0.7532613585245165,0.6511470985155194,0.6893837156995051,0.7456140350877192,0.5814215024741339,0.800944669365722,0.7975708502024291,0.7537112010796222,0.7860998650472335,0.8155645524066577
